"Date","Description","Comments","Check Number","Amount","Balance"
"05/20/2022","WITHDRAWAL  @ ATM7004409 7ELEVEN-FC 2242 GALLOWS ROAD DUNN LORING VAUS","","","-$200.00","$19,374.31"
"05/16/2022","WITHDRAWAL  @ ATM7001560 7ELEVEN-FC 8391 LEESBURG PIKE VIENNA VAUS","","","-$200.00","$25,027.31"
"04/28/2022","WITHDRAWAL  @ ATM7004409 7ELEVEN-FC 2242 GALLOWS ROAD DUNN LORING VAUS","","","-$200.00","$19,760.60"
"04/25/2022","WITHDRAWAL  @ ATM7004409 7ELEVEN-FC 2242 GALLOWS ROAD DUNN LORING VAUS","","","-$200.00","$19,254.01"
"04/08/2022","WITHDRAWAL  @ ATM7004409 7ELEVEN-FC 2242 GALLOWS ROAD DUNN LORING VAUS","","","-$200.00","$16,709.51"
"03/21/2022","WITHDRAWAL  @ ATM7150090 7ELEVEN-FC 12730 SHOPS LANE FAIRFAX VAUS","","","-$200.00","$17,555.41"
"03/07/2022","WITHDRAWAL  @ ATM7004409 7ELEVEN-FC 2242 GALLOWS ROAD DUNN LORING VAUS","","","-$200.00","$15,937.08"
"02/28/2022","WITHDRAWAL  @ ATM7004409 7ELEVEN-FC 2242 GALLOWS ROAD DUNN LORING VAUS","","","-$200.00","$12,836.46"
"02/18/2022","WITHDRAWAL  @ ATM7000695 7ELEVEN-FC 8616 PARK ST VIENNA VAUS","","","-$200.00","$15,897.40"
"02/08/2022","WITHDRAWAL  @ ATM7002172 7ELEVEN-FC 3337 E GLEN CARLYN FALLS CHURCH VAUS","","","-$200.00","$13,643.26"
"01/22/2022","WITHDRAWAL  @ ATM7004409 7ELEVEN-FC 2242 GALLOWS ROAD DUNN LORING VAUS","","","-$200.00","$13,185.48"
"01/14/2022","WITHDRAWAL  @ ATM7002161 7ELEVEN-FC 3338 GALLOWS ROAD ANNANDALE VAUS","","","-$200.00","$10,547.79"
"01/12/2022","WITHDRAWAL  @ ATM7002162 7ELEVEN-FC 7451 PATTERSON RD FALLS CHURCH VAUS","","","-$200.00","$10,787.79"
"12/29/2021","WITHDRAWAL  @ ATM7004409 7ELEVEN-FC 2242 GALLOWS ROAD DUNN LORING VAUS","","","-$200.00","$9,065.84"
"12/27/2021","WITHDRAWAL  @ ATM7000689 7ELEVEN-FC 2915 CEDAR LANE FAIRFAX VAUS","","","-$200.00","$9,086.67"
"12/22/2021","WITHDRAWAL  @ ATM7002161 7ELEVEN-FC 3338 GALLOWS ROAD ANNANDALE VAUS","","","-$200.00","$7,686.29"
"12/11/2021","WITHDRAWAL  @ ATM7000696 7ELEVEN-FC 1931 OLD GALLOWS R VIENNA VAUS","","","-$200.00","$11,037.17"
"12/06/2021","WITHDRAWAL  @ ATM7006753 7ELEVEN-FC 11406 D GEORGIA AV SILVER SPRINGMDUS","","","-$200.00","$17,545.67"
"12/04/2021","WITHDRAWAL  @ ATM7004409 7ELEVEN-FC 2242 GALLOWS ROAD DUNN LORING VAUS","","","-$200.00","$17,745.67"
"11/26/2021","WITHDRAWAL  @ ATM7004545 7ELEVEN-FC 10203 NEW HAMPSHIR HILLANDALE MDUS","","","-$200.00","$17,897.41"
"11/23/2021","WITHDRAWAL  @ ATM7000696 7ELEVEN-FC 1931 OLD GALLOWS R VIENNA VAUS","","","-$200.00","$17,816.69"
"11/22/2021","WITHDRAWAL  @ ATM7004409 7ELEVEN-FC 2242 GALLOWS ROAD DUNN LORING VAUS","","","-$200.00","$18,016.69"
"11/19/2021","WITHDRAWAL  @ ATM7004409 7ELEVEN-FC 2242 GALLOWS ROAD DUNN LORING VAUS","","","-$200.00","$19,371.33"
"11/19/2021","WITHDRAWAL  @ ATM7004409 7ELEVEN-FC 2242 GALLOWS ROAD DUNN LORING VAUS","","","-$200.00","$19,528.38"
"11/08/2021","WITHDRAWAL  @ ATM7002155 7ELEVEN-FC 3910 UNIVERSITY DR FAIRFAX VAUS","","","-$200.00","$16,456.91"
"10/21/2021","WITHDRAWAL  @ ATM7002177 7ELEVEN-FC 17 S CARLYN SPRING ARLINGTON VAUS","","","-$200.00","$15,788.45"
"10/07/2021","WITHDRAWAL  @ ATM7004409 7ELEVEN-FC 2242 GALLOWS ROAD DUNN LORING VAUS","","","-$200.00","$13,680.86"
